Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
M. Hummels;29;Germany;88;88;FC Bayern München;Right;High/ Medium;Yes;LCB;55;87;68;81;53;63;71;66;84;69;68
Marcelo;30;Brazil;88;88;Real Madrid;Left;High/ Low;Yes;LB;70;75;90;92;83;86;83;91;78;84;59
G. Bale;28;Wales;88;88;Real Madrid;Left;High/ Medium;Yes;ST;86;84;87;85;94;82;92;75;80;65;76
H. Lloris;31;France;88;88;Tottenham Hotspur;Left;Medium/ Medium;Yes;GK;10;10;10;34;65;55;23;41;43;31;40
G. Higuaín;30;Argentina;88;88;Milan;Right;High/ Medium;Yes;LS;92;80;84;85;73;75;86;70;85;50;70
Thiago Silva;33;Brazil;88;88;Paris Saint-Germain;Right;Medium/ High;Yes;RCB;38;81;62;80;70;68;71;74;82;76;60
S. Handanovič;33;Slovenia;88;88;Inter;Right;Medium/ Medium;Yes;GK;10;10;12;16;51;47;22;41;71;25;23
G. Buffon;40;Italy;88;88;Paris Saint-Germain;Right;Medium/ Medium;Yes;GK;15;13;26;28;49;55;39;39;69;38;22
S. Umtiti;24;France;87;92;FC Barcelona;Left;Medium/ High;Yes;CB;51;79;69;77;71;68;83;78;84;81;61
M. Icardi;25;Argentina;87;90;Inter;Right;Medium/ Low;Yes;ST;91;91;77;81;77;76;84;72;76;56;82
K. Koulibaly;27;Senegal;87;90;Napoli;Right;High/ High;Yes;LCB;19;81;66;60;68;50;55;71;94;87;33
P. Pogba;25;France;87;91;Manchester United;Right;High/ Low;Yes;RDM;73;73;87;90;71;74;90;88;89;78;81
K. Navas;31;Costa Rica;87;87;Real Madrid;Right;Medium/ Medium;Yes;GK;15;11;16;19;54;60;21;39;75;32;25
R. Lukaku;25;Belgium;87;89;Manchester United;Left;Medium/ Medium;Yes;ST;87;86;80;72;77;60;88;84;94;75;78
C. Immobile;28;Italy;87;87;Lazio;Right;High/ Medium;Yes;ST;90;81;83;83;78;77;86;80;76;77;78
Jordi Alba;29;Spain;87;87;FC Barcelona;Left;High/ Medium;Yes;LB;73;70;80;84;93;90;64;91;61;75;59
D. Mertens;31;Belgium;87;87;Napoli;Right;High/ Low;Yes;RF;86;35;91;89;93;94;80;75;42;59;79
J. Vertonghen;31;Belgium;87;87;Tottenham Hotspur;Left;High/ High;Yes;LCB;56;80;71;76;61;61;80;75;79;84;66
M. Hamšík;30;Slovakia;87;87;Napoli;Right;High/ Medium;Yes;LCM;79;74;86;87;69;76;82;84;67;56;70
I. Rakitić;30;Croatia;87;87;FC Barcelona;Right;High/ High;Yes;RCM;83;58;84;87;66;72;84;84;66;67;82
Piqué;31;Spain;87;87;FC Barcelona;Right;High/ Medium;Yes;RCB;64;83;59;78;49;58;62;65;83;72;69
L. Sané;22;Germany;86;92;Manchester City;Left;High/ Medium;Yes;LW;81;72;88;85;93;88;86;79;70;61;71
Bernardo Silva;23;Portugal;86;91;Manchester City;Left;High/ Medium;Yes;RW;75;51;92;91;84;90;70;78;48;58;68
Ederson;24;Brazil;86;90;Manchester City;Left;Medium/ Medium;Yes;GK;14;14;23;37;64;60;42;41;68;35;17
S. Mané;26;Senegal;86;87;Liverpool;Right;High/ Medium;Yes;LM;84;62;87;86;95;91;82;84;67;73;71
V. van Dijk;26;Netherlands;86;88;Liverpool;Right;Medium/ Medium;Yes;LCB;52;82;70;73;74;61;81;71;92;81;62
R. Sterling;23;England;86;89;Manchester City;Right;High/ Medium;Yes;RW;77;38;88;87;95;93;73;78;52;38;69
Roberto Firmino;26;Brazil;86;87;Liverpool;Right;High/ High;Yes;CAM;87;77;87;88;78;80;81;90;74;73;72
R. Varane;25;France;86;91;Real Madrid;Right;Medium/ High;Yes;RCB;40;83;57;77;83;63;52;73;84;77;43
M. Verratti;25;Italy;86;89;Paris Saint-Germain;Right;Medium/ High;Yes;LCM;60;55;90;88;69;87;56;77;52;89;64
Alex Sandro;27;Brazil;86;86;Juventus;Left;High/ High;Yes;LB;55;76;80;81;83;79;80;92;79;82;60
Douglas Costa;27;Brazil;86;86;Juventus;Left;High/ Medium;Yes;LM;67;50;92;91;97;93;86;78;63;55;77
T. Müller;28;Germany;86;86;FC Bayern München;Right;High/ High;Yes;CAM;87;82;75;82;73;75;78;87;68;57;60
Thiago;27;Spain;86;86;FC Bayern München;Right;Medium/ Medium;Yes;CM;69;54;90;90;78;90;75;75;59;57;75
M. Reus;29;Germany;86;86;Borussia Dortmund;Right;High/ Medium;Yes;LM;87;49;87;86;86;86;88;73;67;49;89
Azpilicueta;28;Spain;86;86;Chelsea;Right;Medium/ Medium;Yes;RB;46;76;69;77;76;72;68;87;71;82;66
L. Bonucci;31;Italy;86;86;Juventus;Right;Low/ High;Yes;RCB;48;86;69;75;57;60;74;71;83;82;70
T. Alderweireld;29;Belgium;86;87;Tottenham Hotspur;Right;Medium/ Medium;Yes;RCB;45;82;62;74;61;60;78;74;79;80;58
M. Pjanić;28;Bosnia Herzegovina;86;86;Juventus;Right;Medium/ Medium;Yes;CDM;60;60;86;89;66;77;78;78;66;70;79
M. Benatia;31;Morocco;86;86;Juventus;Right;Medium/ High;Yes;CB;47;83;64;64;65;59;66;69;91;86;41
M. Özil;29;Germany;86;86;Arsenal;Left;Medium/ Low;Yes;CAM;73;54;84;90;72;79;70;69;57;48;67
Fernandinho;33;Brazil;86;86;Manchester City;Right;Medium/ High;Yes;CDM;69;63;77;82;68;72;83;79;76;87;61
Iniesta;34;Spain;86;86;Vissel Kobe;Right;High/ Medium;Yes;LF;70;54;90;92;70;79;65;55;58;58;71
M. Škriniar;23;Slovakia;85;92;Inter;Right;Medium/ High;No;LCB;42;80;59;67;70;48;50;77;83;86;56
S. Milinković-Savić;23;Serbia;85;90;Lazio;Right;High/ Medium;Yes;CM;80;86;86;87;68;66;83;85;88;73;56
Marco Asensio;22;Spain;85;92;Real Madrid;Left;High/ Medium;Yes;RW;82;50;86;85;85;79;86;76;61;45;62
N. Fekir;24;France;85;89;Olympique Lyonnais;Left;High/ Medium;Yes;CAM;82;49;90;89;79;90;84;80;82;73;81
Alisson;25;Brazil;85;90;Liverpool;Right;Medium/ Medium;Yes;GK;13;19;27;30;54;40;21;32;78;27;23
J. Kimmich;23;Germany;85;88;FC Bayern München;Right;High/ Low;Yes;RCM;66;74;80;85;78;84;75;85;65;74;44
Saúl;23;Spain;85;90;Atlético Madrid;Left;High/ High;Yes;RCM;78;83;83;85;74;76;78;86;77;69;55
R. Mahrez;27;Algeria;85;85;Manchester City;Left;Medium/ Medium;Yes;RW;80;48;91;90;88;93;79;76;54;48;73
D. Alaba;26;Austria;85;87;FC Bayern München;Left;High/ Medium;Yes;LB;63;75;79;83;79;79;83;87;71;69;80
Koke;26;Spain;85;86;Atlético Madrid;Right;High/ High;Yes;LM;72;61;82;86;71;74;84;90;79;71;59
A. Lacazette;27;France;85;86;Arsenal;Right;High/ High;Yes;ST;88;73;85;83;81;85;83;79;73;70;84
K. Manolas;27;Greece;85;87;Roma;Right;Low/ High;No;LCB;10;80;54;65;80;68;40;76;82;86;26
N. Otamendi;30;Argentina;85;85;Manchester City;Right;High/ High;Yes;CB;54;85;51;70;57;64;69;67;80;91;45
Parejo;29;Spain;85;85;Valencia CF;Right;Medium/ Low;Yes;RCM;79;61;78;84;51;66;78;78;72;58;83
Paulinho;29;Brazil;85;85;Guangzhou Evergrande Taobao FC;Right;High/ High;Yes;LDM;81;85;82;84;73;69;83;92;81;81;71
W. Szczęsny;28;Poland;85;87;Juventus;Right;Medium/ Medium;Yes;GK;12;16;11;22;51;55;15;45;65;40;18
A. Sánchez;29;Chile;85;85;Manchester United;Right;High/ High;Yes;RW;80;73;87;86;86;90;84;83;72;79;77
Y. Brahimi;28;Algeria;85;85;FC Porto;Right;High/ Medium;No;LM;76;46;93;86;87;92;69;85;49;46;75
J. Boateng;29;Germany;85;85;FC Bayern München;Right;Medium/ Medium;Yes;RCB;34;85;64;70;67;56;78;69;91;81;46
A. Vidal;31;Chile;85;85;FC Barcelona;Right;Medium/ Medium;Yes;CAM;75;82;76;82;60;74;86;83;79;93;81
I. Perišić;29;Croatia;85;85;Inter;Right;Medium/ Medium;Yes;LM;79;80;84;85;84;78;84;89;78;65;76
E. Džeko;32;Bosnia Herzegovina;85;85;Roma;Right;Medium/ Medium;Yes;ST;89;84;76;84;65;57;86;76;80;51;67
S. Khedira;31;Germany;85;85;Juventus;Right;High/ High;Yes;RCM;72;76;81;84;54;55;82;78;87;82;69
Diego Costa;29;Spain;85;85;Atlético Madrid;Right;High/ Medium;Yes;LS;87;82;77;83;74;58;83;76;92;93;75
R. Nainggolan;30;Belgium;85;85;Inter;Right;High/ High;Yes;CAM;75;59;80;85;78;76;84;93;77;88;63
Naldo;35;Brazil;85;85;FC Schalke 04;Right;Medium/ Medium;No;CB;57;94;60;68;60;46;92;61;83;72;60
B. Matuidi;31;France;85;85;Juventus;Left;High/ High;Yes;LM;64;68;78;79;79;83;78;94;76;86;56
Miranda;33;Brazil;85;85;Inter;Right;Medium/ High;Yes;CB;43;80;67;73;66;61;70;65;79;83;49
K. Benzema;30;France;85;85;Real Madrid;Right;Medium/ Low;Yes;ST;81;80;83;86;76;76;81;75;80;65;82
Filipe Luís;32;Brazil;85;85;Atlético Madrid;Left;High/ Medium;Yes;LB;59;72;77;83;76;75;71;89;74;81;65
V. Kompany;32;Belgium;85;85;Manchester City;Right;Medium/ High;Yes;CB;45;84;63;70;52;57;75;66;87;87;63
Pepe;35;Portugal;85;85;Beşiktaş JK;Right;Medium/ High;Yes;RCB;46;80;58;62;65;63;63;60;86;94;57
Z. Ibrahimović;36;Sweden;85;85;LA Galaxy;Right;Medium/ Low;Yes;RS;86;83;79;84;58;75;90;61;86;84;89
D. Sánchez;22;Colombia;84;88;Tottenham Hotspur;Right;Medium/ High;Yes;RCB;40;80;63;73;72;60;66;76;83;87;44
J. Giménez;23;Uruguay;84;88;Atlético Madrid;Right;Medium/ High;Yes;RCB;37;81;47;56;69;56;72;67;85;89;38
Alex Telles;25;Brazil;84;87;FC Porto;Left;High/ Medium;Yes;LB;65;74;82;82;84;73;80;92;68;78;68
A. Laporte;24;France;84;88;Manchester City;Left;Medium/ Medium;Yes;LCB;45;85;59;73;62;45;68;67;82;75;44
Bruno Fernandes;23;Portugal;84;88;Sporting CP;Right;High/ Medium;No;LCM;73;58;83;85;79;77;87;89;67;65;81
N. Süle;22;Germany;84;90;FC Bayern München;Right;Medium/ Medium;No;CB;20;86;42;63;52;33;77;65;94;82;32
A. Martial;22;France;84;90;Manchester United;Right;Medium/ Medium;Yes;LW;84;69;87;86;88;85;84;75;75;58;81
D. Alli;22;England;84;90;Tottenham Hotspur;Right;High/ High;Yes;LCM;83;77;83;85;73;76;78;90;71;84;74
Fabinho;24;Brazil;84;88;Liverpool;Right;Medium/ Medium;No;CDM;66;75;76;82;69;69;78;92;79;85;91
Marquinhos;24;Brazil;84;89;Paris Saint-Germain;Right;Medium/ Medium;Yes;LDM;33;80;59;76;73;69;53;75;74;80;31
William Carvalho;26;Portugal;84;86;Real Betis;Right;Medium/ Medium;Yes;CDM;52;73;80;79;49;51;59;84;90;75;60
Jorginho;26;Italy;84;87;Chelsea;Right;Medium/ Medium;No;CM;57;56;82;85;75;80;71;79;66;79;84
F. Thauvin;25;France;84;87;Olympique de Marseille;Left;High/ Medium;Yes;RM;81;75;85;86;87;86;83;83;66;56;74
Carvajal;26;Spain;84;87;Real Madrid;Right;High/ High;Yes;RB;41;70;76;83;79;81;64;84;74;81;45
M. Depay;24;Netherlands;84;89;Olympique Lyonnais;Right;High/ Low;Yes;ST;79;65;85;85;87;82;87;79;80;76;75
H. Son;25;Korea Republic;84;85;Tottenham Hotspur;Right;High/ High;Yes;LM;85;65;88;85;88;82;86;85;63;60;71
A. Lopes;27;Portugal;84;86;Olympique Lyonnais;Left;Medium/ Medium;Yes;GK;18;16;15;21;63;67;20;36;73;43;16
S. de Vrij;26;Netherlands;84;86;Inter;Right;Medium/ High;No;CB;25;80;63;71;67;61;65;66;80;78;41
M. Perin;25;Italy;84;89;Juventus;Right;Medium/ Medium;No;GK;11;12;19;23;57;70;23;30;52;25;21
J. Cuadrado;30;Colombia;84;84;Juventus;Right;High/ Medium;Yes;RAM;67;58;90;85;89;91;84;78;61;78;65
Iago Aspas;30;Spain;84;84;RC Celta;Left;High/ High;Yes;ST;88;78;86;85;85;87;79;75;60;63;82
B. Leno;26;Germany;84;87;Arsenal;Right;Medium/ Medium;No;GK;9;13;16;22;46;52;23;43;68;28;23
N. Matić;29;Serbia;84;84;Manchester United;Left;Medium/ High;Yes;CDM;64;74;80;79;52;44;83;84;85;80;64
L. Hrádecký;28;Finland;84;84;Bayer 04 Leverkusen;Right;Medium/ Medium;No;GK;11;11;10;20;38;43;14;34;55;31;20
Illarramendi;28;Spain;84;84;Real Sociedad;Right;Medium/ High;Yes;RDM;72;51;78;83;66;71;69;77;68;76;50
K. Walker;28;England;84;84;Manchester City;Right;High/ High;Yes;RB;51;74;79;78;86;67;86;89;75;78;63
I. Gündoğan;27;Germany;84;84;Manchester City;Right;High/ Medium;Yes;CM;73;50;85;86;67;78;77;69;72;70;76
José Callejón;31;Spain;84;84;Napoli;Right;High/ High;Yes;RM;78;65;82;85;88;85;78;91;55;54;62
A. Di María;30;Argentina;84;84;Paris Saint-Germain;Left;High/ Medium;Yes;RM;72;51;86;85;85;92;83;73;60;73;73
M. Mandžukić;32;Croatia;84;84;Juventus;Right;High/ High;Yes;ST;84;90;76;77;67;67;80;83;85;88;76
Willian;29;Brazil;84;84;Chelsea;Right;High/ High;Yes;RW;77;31;88;84;91;89;79;85;60;44;70
Sergio Asenjo;29;Spain;84;85;Villarreal CF;Right;Medium/ Medium;No;GK;14;13;15;14;59;62;24;41;73;20;15
E. Banega;30;Argentina;84;84;Sevilla FC;Right;Medium/ Medium;Yes;CDM;66;49;84;86;68;79;74;74;67;73;78
A. Witsel;29;Belgium;84;84;Borussia Dortmund;Right;Medium/ Medium;No;LCM;71;80;78;84;67;78;78;86;82;82;81
D. Payet;31;France;84;84;Olympique de Marseille;Right;High/ Low;Yes;CAM;78;59;86;90;75;79;80;73;72;57;74
Jonas;34;Brazil;84;84;SL Benfica;Right;High/ Medium;Yes;ST;88;84;84;88;65;77;84;66;63;61;84
Sokratis;30;Greece;84;84;Arsenal;Right;Medium/ High;Yes;RCB;44;85;58;58;64;60;77;69;86;88;24
S. Ruffier;31;France;84;84;AS Saint-Étienne;Right;Medium/ Medium;No;GK;11;12;12;15;45;51;21;37;76;31;25
Falcao;32;Colombia;84;84;AS Monaco;Right;High/ Medium;Yes;RS;86;89;75;82;69;76;79;68;75;75;81
K. Schmeichel;31;Denmark;84;84;Leicester City;Right;Medium/ Medium;Yes;GK;12;16;12;40;59;62;36;34;64;35;26
Raúl Albiol;32;Spain;84;84;Napoli;Right;Low/ High;Yes;RCB;27;77;59;71;54;53;65;55;82;81;37
A. Gómez;30;Argentina;84;84;Atalanta;Right;High/ Medium;No;LS;76;38;89;87;94;92;76;75;48;56;72
A. Barzagli;37;Italy;84;84;Juventus;Right;Low/ High;Yes;CB;21;72;64;65;61;52;54;53;83;66;60
Quaresma;34;Portugal;84;84;Beşiktaş JK;Right;High/ Low;Yes;RM;67;41;89;88;84;91;79;65;55;74;74
A. Robben;34;Netherlands;84;84;FC Bayern München;Left;High/ Low;Yes;RM;85;51;89;88;83;87;86;64;67;47;78
O. Dembélé;21;France;83;92;FC Barcelona;Left;High/ Low;Yes;RW;78;43;90;83;93;90;83;73;46;54;75
Gabriel Jesus;21;Brazil;83;92;Manchester City;Right;High/ High;Yes;ST;84;74;86;85;87;92;78;84;68;73;78
Ronaldo Cabrais;26;Brazil;83;83;Grêmio;Right;High/ Medium;No;RW;74;64;85;83;88;85;82;86;70;62;77
Josué Chiamulera;26;Brazil;83;83;Grêmio;Right;Medium/ Medium;No;LCB;38;83;56;70;83;77;53;76;73;88;56
Louri Beretta;26;Brazil;83;83;Atlético Mineiro;Right;High/ Low;No;ST;85;83;75;74;79;55;85;56;87;65;77
P. Kimpembe;22;France;83;89;Paris Saint-Germain;Left;High/ High;Yes;LCB;31;79;58;78;75;74;55;80;84;85;50
N. Keïta;23;Guinea;83;88;Liverpool;Right;High/ Medium;Yes;CM;74;42;88;88;78;89;76;82;58;78;58
C. Tolisso;23;France;83;88;FC Bayern München;Right;High/ Medium;Yes;CM;75;82;77;81;75;75;82;87;77;81;70
T. Lemar;22;France;83;89;Atlético Madrid;Left;High/ Medium;Yes;LM;75;54;85;86;86;87;79;79;63;63;68
K. Coman;22;France;83;87;FC Bayern München;Right;Medium/ Low;Yes;LM;76;52;88;83;95;87;77;76;61;36;70
J. Tah;22;Germany;83;88;Bayer 04 Leverkusen;Right;Medium/ Medium;No;CB;20;80;55;64;64;48;44;63;93;76;38
Anderson Talisca;24;Brazil;83;90;Guangzhou Evergrande Taobao FC;Left;High/ Medium;No;CAM;80;77;82;84;77;76;84;76;72;67;71
T. Werner;22;Germany;83;87;RB Leipzig;Right;High/ Medium;Yes;RW;87;76;83;84;93;81;74;83;59;63;72
A. Rabiot;23;France;83;87;Paris Saint-Germain;Left;High/ Medium;Yes;CM;69;77;79;83;73;79;80;82;80;76;69
L. Goretzka;23;Germany;83;88;FC Bayern München;Right;High/ High;Yes;CM;72;75;81;83;84;76;77;86;70;80;60
Q. Promes;26;Netherlands;83;84;Sevilla FC;Right;High/ Low;No;RM;86;60;84;82;90;87;82;83;61;60;74
H. Ziyech;25;Morocco;83;86;Ajax;Left;High/ High;Yes;RAM;68;53;83;83;76;85;80;86;59;71;73
Lucas Vázquez;27;Spain;83;83;Real Madrid;Right;High/ High;Yes;RW;73;52;82;83;84;79;82;90;57;65;56
Y. Carrasco;24;Belgium;83;86;Dalian YiFang FC;Right;High/ Medium;Yes;LM;79;53;88;87;89;88;84;74;59;61;74
Gerard Moreno;26;Spain;83;85;Villarreal CF;Left;High/ Medium;Yes;LS;83;80;78;81;77;70;81;72;74;55;73
Felipe;29;Brazil;83;83;FC Porto;Right;Medium/ High;No;RCB;39;81;57;62;60;52;46;78;86;92;47
M. Kovačić;24;Croatia;83;89;Chelsea;Right;High/ High;Yes;LCM;62;42;88;89;84;81;79;82;65;77;59
Kepa;23;Spain;83;91;Chelsea;Right;Medium/ Medium;Yes;GK;11;17;10;16;34;41;25;37;51;18;24
Manu Trigueros;26;Spain;83;84;Villarreal CF;Right;Medium/ Medium;Yes;RCM;71;74;80;83;68;76;81;77;63;71;65
S. Gnabry;22;Germany;83;88;FC Bayern München;Right;High/ Medium;Yes;ST;81;46;87;83;92;87;85;68;68;63;68
J. Pickford;24;England;83;88;Everton;Left;Medium/ Medium;Yes;GK;19;15;14;40;53;55;31;45;70;30;41
S. Savić;27;Montenegro;83;86;Atlético Madrid;Right;Medium/ High;Yes;CB;34;85;47;68;55;61;43;58;77;83;37
J. Stones;24;England;83;87;Manchester City;Right;High/ Medium;Yes;RCB;29;83;69;80;67;61;46;79;77;79;44
Suso;24;Spain;83;86;Milan;Left;High/ Medium;No;RW;70;50;88;89;83;86;78;77;56;23;72
J. Draxler;24;Germany;83;86;Paris Saint-Germain;Right;Medium/ Medium;Yes;CM;78;65;88;89;78;80;86;69;66;48;63
Felipe Anderson;25;Brazil;83;85;West Ham United;Right;High/ Medium;No;LM;71;44;90;88;93;89;83;72;53;67;53
Lucas Moura;25;Brazil;83;84;Tottenham Hotspur;Right;High/ Medium;Yes;RM;78;50;88;81;94;94;79;75;59;72;74
Danilo Pereira;26;Portugal;83;86;FC Porto;Right;Medium/ High;No;CDM;61;78;76;78;63;58;76;83;89;85;52
Nacho Fernández;28;Spain;83;85;Real Madrid;Right;Medium/ High;Yes;CB;32;82;55;78;70;60;54;78;79;78;45
T. Horn;25;Germany;83;87;1. FC Köln;Left;Medium/ Medium;No;GK;13;14;20;22;45;50;22;31;67;41;21
Allan;27;Brazil;83;83;Napoli;Right;Medium/ High;No;RCM;72;59;82;80;81;82;70;95;77;87;53
F. Acerbi;30;Italy;83;83;Lazio;Left;Medium/ Medium;No;CB;37;80;65;72;65;33;75;81;83;73;72
Sergi Roberto;26;Spain;83;86;FC Barcelona;Right;High/ High;Yes;RB;63;72;78;83;78;69;65;85;69;68;57
Rodrigo;27;Spain;83;84;Valencia CF;Left;High/ Medium;Yes;ST;78;80;82;82;88;84;83;78;72;60;77
Pizzi;28;Portugal;83;83;SL Benfica;Right;High/ Medium;No;LCM;76;45;80;82;82;77;75;86;59;68;76
K. Kampl;27;Slovenia;83;83;RB Leipzig;Right;High/ High;Yes;LCM;63;34;86;84;84;91;69;88;47;64;64
Neto;28;Brazil;83;84;Valencia CF;Right;Medium/ Medium;Yes;GK;15;14;19;24;53;59;28;39;63;40;22
O. Baumann;28;Germany;83;84;TSG 1899 Hoffenheim;Right;Medium/ Medium;No;GK;11;16;19;17;47;45;21;39;69;32;22
I. Gueye;28;Senegal;83;83;Everton;Right;Medium/ High;Yes;RDM;50;69;75;79;76;80;80;89;70;84;54
H. Mkhitaryan;29;Armenia;83;83;Arsenal;Right;Medium/ Medium;Yes;RM;74;53;84;86;84;87;85;83;62;69;72
Marcos Alonso;27;Spain;83;84;Chelsea;Left;High/ Low;Yes;LB;68;83;79;83;69;64;84;90;76;75;64
D. Subašić;33;Croatia;83;83;AS Monaco;Right;Medium/ Medium;No;GK;10;13;11;19;51;42;24;32;80;31;23
K. Glik;30;Poland;83;83;AS Monaco;Right;Low/ Medium;Yes;RCB;27;85;51;59;50;34;57;67;90;86;39
K. Strootman;28;Netherlands;83;83;Olympique de Marseille;Left;Medium/ High;No;CDM;68;68;75;84;65;65;81;79;81;86;77
B. Dost;29;Netherlands;83;83;Sporting CP;Right;Medium/ Medium;No;ST;87;94;68;74;49;32;82;82;92;70;88
Oscar;26;Brazil;83;84;Shanghai SIPG FC;Right;Medium/ Medium;Yes;LCM;76;54;78;84;75;86;80;76;38;43;68
M. Balotelli;27;Italy;83;83;OGC Nice;Right;Medium/ Low;Yes;LS;85;67;81;85;76;71;89;66;86;70;92
Luiz Gustavo;30;Brazil;83;83;Olympique de Marseille;Left;Medium/ High;Yes;LCB;48;72;68;73;65;65;80;85;81;88;58
Giuliano;28;Brazil;83;83;Al Nassr;Right;High/ Medium;No;CAM;79;59;84;84;85;85;78;82;74;71;79
David Luiz;31;Brazil;83;83;Chelsea;Right;Medium/ Medium;Yes;LCB;55;81;66;79;59;69;79;66;79;85;75
R. Fährmann;29;Germany;83;84;FC Schalke 04;Right;Medium/ Medium;No;GK;11;15;15;24;38;39;24;32;79;36;21
Juan Mata;30;Spain;83;83;Manchester United;Left;Medium/ Medium;Yes;RM;78;56;82;88;69;84;75;71;37;50;81
Adán;31;Spain;83;83;Atlético Madrid;Left;Medium/ Medium;Yes;GK;11;23;12;15;56;55;25;32;77;41;25
Rui Patrício;30;Portugal;83;83;Wolverhampton Wanderers;Left;Medium/ Medium;Yes;GK;12;11;20;23;53;61;38;45;77;39;32
